Naimenovanie;Celevaja_statja_rashodov;Kassovoe_ispolnenie
Реализация мероприятий федеральной целевой программы;1150099998;4 564 752 675,62
"Субсидии на реализацию мероприятий федеральной целевой программы ""Развитие внутреннего и въездного туризма в Российской Федерации (2011 - 2018 годы)""";1160051100;1 807 779 743,62
Реализация мероприятий федеральной целевой программы;1160099998;80 277 519,71
"Субсидии на мероприятия федеральной целевой программы ""Охрана озера Байкал и социально-экономическое развитие Байкальской природной территории на 2012 - 2020 годы""";1260050290;340 998 044,17
Реализация мероприятий федеральной целевой программы;1260099998;229 027 300,00
"Субсидии на финансовое обеспечение мероприятий федеральной целевой программы ""Развитие физической культуры и спорта в Российской Федерации на 2016 - 2020 годы""";1360054950;1 811 264 117,69
Реализация мероприятий федеральной целевой программы;1360099998;2 644 687 081,38
Расходы на обеспечение деятельности (оказание услуг) государственных учреждений;1470090059;251 905 200,00
Реализация мероприятий федеральной целевой программы;1470099998;2 638 566 986,71
"Субсидии на проведение комплексных кадастровых работ в рамках федеральной целевой программы ""Развитие единой государственной системы регистрации прав и кадастрового учета недвижимости (2014 - 2019 годы)""";15Г0055110;24 321 980,71
Реализация мероприятий федеральной целевой программы;15Г0099998;582 080 653,03
Реализация мероприятий федеральной целевой программы;16Ч0099998;4 905 090 221,96
Реализация мероприятий федеральной целевой программы;2040099998;4 379 160 939,27
"Взнос в уставный капитал акционерного общества ""Научно-производственный центр ""Полюс"", г. Томск";2140062720;27 498 345,00
"Взнос в уставный капитал акционерного общества ""Информационные спутниковые системы"" имени академика М.Ф. Решетнёва"", г. Железногорск, Красноярский край";2140062870;1 317 699 780,00
"Взнос в уставный капитал акционерного общества ""Научно-производственное предприятие ""Геофизика-Космос"", г. Москва";2140063510;27 499 808,00
"Взнос в уставный капитал акционерного общества ""Научно-исследовательский институт ""Полюс"" им. М.Ф. Стельмаха"", г. Москва";2140064380;27 000 000,00
"Взнос в уставный капитал акционерного общества ""Научно-производственное предприятие ""Квант"", г. Москва";2140067790;698 597 956,00
Реализация мероприятий федеральной целевой программы;2140099998;21 981 418 814,95
"Взнос в уставный капитал акционерного общества ""Научно-производственное предприятие ""Геофизика-Космос"", г. Москва";2170063510;149 999 885,00
Реализация мероприятий федеральной целевой программы;2170099998;51 960 207 023,27
"Взнос в уставный капитал акционерного общества ""Государственный научный центр - Научно-исследовательский институт атомных реакторов"", г. Димитровград-10, Ульяновская область";2270063810;53 400 000,00
"Взнос в уставный капитал акционерного общества ""Ордена Ленина Научно-исследовательский и конструкторский институт энерготехники имени Н.А. Доллежаля"", г. Москва";2270066690;45 000 000,00
"Взнос в уставный капитал акционерного общества ""Высокотехнологический научно-исследовательский институт неорганических материалов имени академика А.А. Бочвара"", г. Москва";2270066700;25 000 000,00
"Взнос в уставный капитал акционерного общества ""Красная Звезда"", г. Москва";2270066710;5 600 000,00
"Взнос в уставный капитал акционерного общества ""НИИЭФА им. Д.В. Ефремова"", г. Санкт-Петербург";2270067270;48 999 999,00
"Взнос в уставный капитал акционерного общества ""Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований"", г. Москва, г. Троицк";2270067450;39 000 000,00
Реализация мероприятий федеральной целевой программы;2270099998;1 968 834 497,54
"Взнос в уставный капитал акционерного общества ""Сибирский химический комбинат"", г. Северск, Томская область";22Б0063800;100 000 000,00
"Взнос в уставный капитал публичного акционерного общества ""Приаргунское производственное горно-химическое объединение"", г. Краснокаменск, Забайкальский край";22Б0067230;181 996 416,16
Реализация мероприятий федеральной целевой программы;22Б0099998;4 517 328 453,18
Реализация мероприятий федеральной целевой программы;2350099998;6 408 545 000,00
Реализация мероприятий федеральной целевой программы;24Б0199998;3 386 390 320,58
"Взнос в уставный капитал открытого акционерного общества ""Российские железные дороги"" в рамках реализации мероприятий подпрограммы ""Железнодорожный транспорт"" федеральной целевой программы ""Развитие транспортной системы России (2010 - 2020 годы)""";24Б0264180;18 739 891 700,00
"Субсидии на реализацию мероприятий подпрограммы ""Автомобильные дороги"" федеральной целевой программы ""Развитие транспортной системы России (2010 - 2020 годы)""";24Б0351150;6 709 073 605,29
"Субсидии на реализацию мероприятий по подготовке и проведению чемпионата мира по футболу в 2018 году в Российской Федерации по подпрограмме ""Автомобильные дороги"" федеральной целевой программы ""Развитие транспортной системы России (2010 - 2020 годы)""";24Б0351950;4 033 269 786,10
Реализация мероприятий федеральной целевой программы;24Б0399998;104 805 185 991,03
"Взнос в уставный капитал публичного акционерного общества ""Государственная транспортная лизинговая компания"", г. Салехард, Ямало-Ненецкий автономный округ, в целях лизинга (аренды) автомобильно-железнодорожных паромов для эксплуатации на линии Ванино - Холмск";24Б0460431;1 978 340 000,00
Реализация мероприятий федеральной целевой программы;24Б0499998;11 376 574 268,43
Реализация мероприятий федеральной целевой программы;24Б0599998;4 597 019 043,03
Реализация мероприятий по подготовке и проведению чемпионата мира по футболу в 2018 году в Российской Федерации;24Б0692027;14 926 000 310,38
Реализация мероприятий федеральной целевой программы;24Б0699998;8 194 497 513,17
Реализация мероприятий федеральной целевой программы;24Б0799998;155 769 000,00
Реализация мероприятий федеральной целевой программы;24Б9999998;216 110 472,62
"Субсидии на реализацию мероприятий федеральной целевой программы ""Устойчивое развитие сельских территорий на 2014 - 2017 годы и на период до 2020 года""";2570050180;9 491 453 988,19
Реализация мероприятий федеральной целевой программы;2570099998;18 037 000,00
"Субсидии на реализацию мероприятий федеральной целевой программы ""Развитие мелиорации земель сельскохозяйственного назначения России на 2014 - 2020 годы""";2580050760;1 311 440 012,13
Реализация мероприятий федеральной целевой программы;2580099998;4 780 431 046,16
"Субсидии на мероприятия федеральной целевой программы ""Развитие водохозяйственного комплекса Российской Федерации в 2012 - 2020 годах""";2860050160;2 420 724 275,40
Реализация мероприятий федеральной целевой программы;2860099998;3 567 884 793,10
Реализация мероприятий федеральной целевой программы;34К0099998;58 080,00
Субсидии на реализацию мероприятий федеральной целевой программы развития Калининградской области на период до 2020 года;3740050990;433 490 259,82
Субсидии на реализацию мероприятий по подготовке и проведению чемпионата мира по футболу в 2018 году в Российской Федерации в рамках федеральной целевой программы развития Калининградской области до 2020 года;3740055180;2 126 764 180,05
"Субсидии на реализацию мероприятий федеральной целевой программы ""Социально-экономическое развитие Республики Крым и г. Севастополя до 2020 года""";4520051880;17 193 683 352,69
Субсидии юридическим лицам на финансовое обеспечение расходов, связанных с реализацией мероприятий по обеспечению каналами связи Республики Крым с использованием существующей (строящейся) электросетевой инфраструктуры;4520060320;2 335 858,04
"Имущественный взнос Российской Федерации в автономную некоммерческую организацию ""Дирекция по управлению федеральной целевой программой ""Социально-экономическое развитие Республики Крым и г. Севастополя до 2020 года""";4520061820;96 578 618,59
Создание объектов социального и производственного комплексов, в том числе объектов общегражданского назначения, жилья, инфраструктуры, и иных объектов;4520094009;1 338 929 649,14
Реализация мероприятий федеральной целевой программы;4520099998;44 018 387 844,90
Субсидии на приобретение жилых помещений работникам аппаратов судов и Судебного департамента при Верховном Суде Российской Федерации и его территориальных органов, нуждающимся в улучшении жилищных условий;9910035830;491 887 034,14
Реализация мероприятий федеральной целевой программы;9910099998;4 738 683 590,77
Реализация мероприятий федеральной целевой программы;9920099998;158 321 133,44
Разработка вооружений, военной и специальной техники, продукции производственно-технического назначения и имущества в рамках государственного оборонного заказа;9940092018;4 135 000,00
Реализация мероприятий федеральной целевой программы;9940099998;386 555 627,45
"Субсидии на реализацию мероприятий федеральной целевой программы ""Развитие Республики Карелия на период до 2020 года""";9980054190;81 641 581,39
